hanja,kor,radical,radical_name,stroke_count,level,rep_pron,mistake
約,맺을 약,糸,실 사|가는실 멱,9,준5급,약,2
損,덜 손,手,손 수,13,4급,손,2
旋,돌 선,方,모 방,11,준3급,선,3
荒,거칠 황,艸,풀 초,10,준3급,황,2
係,맬 계,人,사람 인,9,준4급,계,2
巡,돌/순행할 순,巛,내 천,7,준3급,순,3
竊,훔칠 절,穴,굴 혈,22,3급,절,2
臥,누울 와,臣,신하 신,8,3급,와,2
添,더할 첨,水,물 수,11,3급,첨,2
束,묶을 속,木,나무 목,7,준5급,속,2
獄,옥 옥,犬,개 견,14,준3급,옥,2
捨,버릴 사,手,손 수,11,3급,사,2
緩,느릴 완,糸,실 사|가는실 멱,15,준3급,완,2
穀,곡식 곡,禾,벼 화,15,4급,곡,2
刷,인쇄할 쇄,刀,칼 도,8,준3급,쇄,4
召,부를 소,口,입 구,5,3급,소,2
衝,찌를 충,行,다닐 행|항렬 항,15,준3급,충,2
梅,매화 매,木,나무 목,11,준3급,매,2
屬,붙일 속,尸,주검 시,21,4급,속,3
熟,익을 숙,火,불 화,15,준3급,숙,4
途,길 도,辵,쉬엄쉬엄갈 착,11,준3급,도,6
劇,심할 극,刀,칼 도,15,4급,극,4
素,본디/흴 소,糸,실 사|가는실 멱,10,준4급,소,2
般,가지/일반 반,舟,배 주,10,준3급,반,5
騷,떠들 소,馬,말 마,20,3급,소,6
姉,손윗누이 자,女,계집 녀,8,4급,자,2
鍾,쇠북 종,金,쇠 금|성 김,17,4급,종,2
雁,기러기 안,隹,새 추,12,3급,안,4
誤,그르칠 오,言,말씀 언,14,준4급,오,2
惡,악할 악|미워할 오,心,마음 심,12,준5급,악,2
西,서녘 서,襾,덮을 아,6,8급,서,2
帳,장막 장,巾,수건 건,11,4급,장,3
順,순할 순,頁,머리 혈,12,준5급,순,2
疫,전염병 역,疒,병들어기댈 녁,9,준3급,역,3
諸,모두 제,言,말씀 언,16,준3급,제,2
逸,편안할 일,辵,쉬엄쉬엄갈 착,12,준3급,일,2
祀,제사 사,示,보일 시,8,준3급,사,2
優,넉넉할 우,人,사람 인,17,4급,우,2
搖,흔들 요,手,손 수,13,3급,요,2
韻,운 운,音,소리 음,19,준3급,운,3
蓋,덮을 개,艸,풀 초,14,준3급,개,2
晚,늦을 만,日,날 일,11,준3급,만,2
脣,입술 순,肉,고기 육,11,3급,순,3
更,고칠 경|다시 갱,曰,가로 왈,7,4급,경,2
押,누를 압,手,손 수,8,3급,압,2
詳,자세할 상,言,말씀 언,13,준3급,상,2
畏,두려워할 외,田,밭 전,9,3급,외,2
顔,낯 안,頁,머리 혈,18,준3급,안,3
誘,꾈 유,言,말씀 언,14,준3급,유,2
律,법칙 률,彳,조금걸을 척,9,준4급,률,2
收,거둘 수,攴,칠 복,6,준4급,수,3
飾,꾸밀 식,食,밥/먹을 식,14,준3급,식,2
慮,생각할 려,心,마음 심,15,4급,려,2
厄,액 액,厂,기슭 한,4,3급,액,4
詐,속일 사,言,말씀 언,12,3급,사,2
裁,옷마를 재,衣,옷 의,12,준3급,재,2
俊,준걸 준,人,사람 인,9,3급,준,3
詞,말/글 사,言,말씀 언,12,준3급,사,2
徐,천천할 서,彳,조금걸을 척,10,준3급,서,3
卵,알 란,卩,병부 절,7,4급,란,2
遂,드디어 수,辵,쉬엄쉬엄갈 착,13,3급,수,3
赴,다다를/갈 부,走,달릴 주,9,3급,부,3
鑄,쇠불릴 주,金,쇠 금|성 김,22,준3급,주,2
承,이을 승,手,손 수,8,준4급,승,3
違,어긋날 위,辵,쉬엄쉬엄갈 착,13,3급,위,3
疑,의심할 의,疋,짝 필,14,4급,의,2
衡,저울대 형,行,다닐 행|항렬 항,16,준3급,형,3
旬,열흘 순,日,날 일,6,준3급,순,2
雖,비록 수,隹,새 추,17,3급,수,3
幽,그윽할 유,幺,작을 요,9,준3급,유,2
恕,용서할 서,心,마음 심,10,준3급,서,2
繫,맬 계,糸,실 사|가는실 멱,19,3급,계,6
仙,신선 선,人,사람 인,5,준5급,선,3
導,인도할 도,寸,마디 촌,16,준4급,도,2
容,얼굴 용,宀,집 면,10,준4급,용,2
儒,선비 유,人,사람 인,16,4급,유,2
獸,짐승 수,犬,개 견,19,준3급,수,2
者,놈 자,老,늙을 로,9,6급,자,2
酌,술부을/잔질할 작,酉,닭 유,10,3급,작,2
二,두 이,二,두 이,2,8급,이,2
肅,엄숙할 숙,聿,붓 율,13,4급,숙,2
逃,도망할 도,辵,쉬엄쉬엄갈 착,10,4급,도,2
援,도울 원,手,손 수,12,4급,원,2
施,베풀 시,方,모 방,9,준4급,시,3
産,낳을 산,生,날 생,11,준5급,산,2
始,비로소 시,女,계집 녀,8,준6급,시,2
岸,언덕 안,山,메 산,8,준3급,안,4
贈,줄 증,貝,조개 패,19,3급,증,2
聖,성인 성,耳,귀 이,13,준4급,성,2
須,모름지기 수,頁,머리 혈,12,3급,수,3
尋,찾을 심,寸,마디 촌,12,3급,심,4
認,알 인,言,말씀 언,14,준4급,인,3
著,나타날 저,艸,풀 초,13,준3급,저,2
益,더할 익,皿,그릇 명,10,준4급,익,3
威,위엄 위,女,계집 녀,9,4급,위,2
寧,편안 녕,宀,집 면,14,준3급,녕,2
奉,받들 봉,大,큰 대,8,준5급,봉,2
桂,계수나무 계,木,나무 목,10,준3급,계,4
遙,멀 요,辵,쉬엄쉬엄갈 착,14,3급,요,2
舌,혀 설,舌,혀 설,6,4급,설,2
御,거느릴 어,彳,조금걸을 척,12,준3급,어,3
燒,사를 소,火,불 화,16,준3급,소,3
粟,조 속,米,쌀 미,12,3급,속,5
述,펼 술,辵,쉬엄쉬엄갈 착,9,준3급,술,3
孫,손자 손,子,아들 자,10,6급,손,3
抑,누를 억,手,손 수,7,준3급,억,3
驛,역 역,馬,말 마,23,준3급,역,2
敵,대적할 적,攴,칠 복,15,준4급,적,2
圍,에워쌀 위,囗,에워쌀 위|나라 국,12,4급,위,2
躍,뛸 약,足,발 족 / 족할 족,21,3급,약,2
族,겨레 족,方,모 방,11,6급,족,2
肺,허파 폐,肉,고기 육,8,준3급,폐,2
壞,무너질 괴,土,흙 토,19,준3급,괴,2
委,맡길 위,女,계집 녀,8,4급,위,3
養,기를 양,食,밥/먹을 식,15,준5급,양,3
度,법도 도|헤아릴 탁,广,집 엄,9,6급,도,2
修,닦을 수,人,사람 인,10,준4급,수,2
癸,북방/천간 계,癶,등질 발,9,3급,계,5
汝,너 여,水,물 수,6,3급,여,2
墨,먹 묵,土,흙 토,15,준3급,묵,2
鎖,쇠사슬 쇄,金,쇠 금|성 김,18,준3급,쇄,3
難,어려울 난,隹,새 추,19,준4급,난,5
柔,부드러울 유,木,나무 목,9,준3급,유,2
誦,욀 송,言,말씀 언,14,3급,송,3
譽,기릴/명예 예,言,말씀 언,21,준3급,예,4
隨,따를 수,阜,언덕 부,16,준3급,수,2
矣,어조사 의,矢,화살 시,7,3급,의,3
似,닮을 사,人,사람 인,7,3급,사,2
襲,엄습할 습,衣,옷 의,22,준3급,습,2
慢,거만할 만,心,마음 심,14,3급,만,2
庸,떳떳할 용,广,집 엄,11,3급,용,2
延,늘일 연,廴,길게걸을 인,7,4급,연,2
憎,미울 증,心,마음 심,15,준3급,증,2
吟,읊을 음,口,입 구,7,3급,음,2
術,재주 술,行,다닐 행|항렬 항,11,준6급,술,2
碧,푸를 벽,石,돌 석,14,준3급,벽,2
鉛,납 연,金,쇠 금|성 김,13,4급,연,2
銳,날카로울 예,金,쇠 금|성 김,15,3급,예,3
與,더불/줄 여,臼,절구 구,14,4급,여,2
殊,다를 수,歹,뼈앙상할 알|나쁠 대,10,준3급,수,3
視,볼 시,見,볼 견|뵈올 현,12,준4급,시,2
衛,지킬 위,行,다닐 행|항렬 항,15,준4급,위,2
迎,맞을 영,辵,쉬엄쉬엄갈 착,8,4급,영,2
迫,핍박할 박,辵,쉬엄쉬엄갈 착,9,준3급,박,4
式,법 식,弋,주살 익,6,6급,식,3
實,열매 실,宀,집 면,14,준5급,실,2
瞬,눈깜짝일 순,目,눈 목,17,준3급,순,3
域,지경 역,土,흙 토,11,4급,역,3
亞,버금 아,二,두 이,8,준3급,아,2
可,옳을 가,口,입 구,5,5급,가,2
需,쓰일/쓸 수,雨,비 우,14,준3급,수,3
縱,세로 종,糸,실 사|가는실 멱,17,준3급,종,2
覆,덮을 부|다시 복,襾,덮을 아,18,준3급,부,4
金,쇠 금|성 김,金,쇠 금|성 김,8,8급,금,2
胡,되 호,肉,고기 육,9,준3급,호,4
寶,보배 보,宀,집 면,20,준4급,보,2
皆,다 개,白,흰 백,9,3급,개,2
審,살필 심,宀,집 면,15,준3급,심,3
選,가릴 선,辵,쉬엄쉬엄갈 착,16,5급,선,3
頌,기릴/칭송할 송,頁,머리 혈,13,4급,송,3
奈,어찌 내,大,큰 대,8,3급,내,5
依,의지할 의,人,사람 인,8,4급,의,2
慰,위로할 위,心,마음 심,15,4급,위,3
性,성품 성,心,마음 심,8,준5급,성,2
鮮,고울 선,魚,고기/물고기 어,17,준5급,선,2
盤,소반 반,皿,그릇 명,15,준3급,반,2
蘇,되살아날 소,艸,풀 초,20,준3급,소,3
租,조세 조,禾,벼 화,10,준3급,조,2
牙,어금니 아,牙,어금니 아,4,준3급,아,2
仰,우러를 앙,人,사람 인,6,준3급,앙,3
辭,말씀 사,辛,매울 신,19,4급,사,4
隷,종 례,隶,미칠 이/대,16,3급,례,4
較,견줄/비교할 교,車,수레 거/차,13,준3급,교,2
序,차례 서,广,집 엄,7,5급,서,3
拾,주울 습|열 십,手,손 수,9,준3급,습,3
像,모양 상,人,사람 인,14,준3급,상,4
奏,아뢸 주,大,큰 대,9,준3급,주,2
伸,펼 신,人,사람 인,7,3급,신,2
徹,통할 철,彳,조금걸을 척,15,준3급,철,2
籍,문서 적,竹,대 죽,20,4급,적,2
嚴,엄할 엄,口,입 구,20,4급,엄,3
榮,영화 영,木,나무 목,14,준4급,영,2
央,가운데 앙,大,큰 대,5,준3급,앙,2
娛,즐길 오,女,계집 녀,10,3급,오,2
釋,풀 석,釆,나눌 변,20,준3급,석,3
愚,어리석을 우,心,마음 심,13,준3급,우,3
越,넘을 월,走,달릴 주,12,준3급,월,3
擔,멜 담,手,손 수,16,준4급,담,3
殉,따라죽을 순,歹,뼈앙상할 알|나쁠 대,10,3급,순,3
橫,가로 횡,木,나무 목,16,준3급,횡,2
翼,날개 익,羽,깃 우,17,준3급,익,2
垂,드리울 수,土,흙 토,8,준3급,수,2
悅,기쁠 열,心,마음 심,10,준3급,열,2
省,살필 성|덜 생,目,눈 목,9,준6급,성,3
昭,밝을 소,日,날 일,9,3급,소,2
余,나 여,人,사람 인,7,3급,여,2
漁,고기잡을 어,水,물 수,14,5급,어,2
庚,별 경,广,집 엄,8,3급,경,4
蛇,긴뱀 사,虫,벌레 훼,11,준3급,사,2
閱,볼 열,門,문 문,15,3급,열,2
詠,읊을 영,言,말씀 언,12,3급,영,3
紫,자줏빛 자,糸,실 사|가는실 멱,12,준3급,자,5
誠,정성 성,言,말씀 언,14,준4급,성,3
役,부릴 역,彳,조금걸을 척,7,준3급,역,3
乳,젖 유,乙,둘째 천간 을,8,4급,유,2
染,물들 염,木,나무 목,9,준3급,염,2
謁,뵐 알,言,말씀 언,16,3급,알,2
宙,집 주,宀,집 면,8,준3급,주,2
乘,탈 승,丿,삐침 별,10,준3급,승,2
唯,오직 유,口,입 구,11,3급,유,2
緖,실마리 서,糸,실 사|가는실 멱,15,준3급,서,2
攝,다스릴/잡을 섭,手,손 수,21,3급,섭,2
査,조사할 사,木,나무 목,9,5급,사,2
賊,도둑 적,貝,조개 패,13,4급,적,2
封,봉할 봉,寸,마디 촌,9,준3급,봉,4
耶,어조사 야,耳,귀 이,9,3급,야,3
誰,누구 수,言,말씀 언,15,3급,수,3
績,길쌈 적,糸,실 사|가는실 멱,17,4급,적,2
徒,무리 도,彳,조금걸을 척,10,4급,도,2
祈,빌 기,示,보일 시,9,준3급,기,4
稻,벼 도,禾,벼 화,15,3급,도,5
蒸,찔 증,艸,풀 초,14,준3급,증,2
享,누릴 향,亠,돼지해머리 두,8,3급,향,2
促,재촉할 촉,人,사람 인,9,준3급,촉,2
熱,더울 열,火,불 화,15,5급,열,2
供,이바지할 공,人,사람 인,8,준3급,공,2
殿,전각 전,殳,창 수,13,준3급,전,2
暗,어두울 암,日,날 일,13,준4급,암,2
